;0;1;2;3;4;5;6
428;891f4d6cb67ffff;45.685653238518185;0;0;1;4;0
429;891f4d6cb23ffff;473.98653173907155;1;0;3;4;0
430;891f4d6c3b3ffff;484.78979554456316;1;0;0;1;0
431;891f4d6c393ffff;1168.0802097121443;0;0;0;4;0
432;891f4d6ca6bffff;505.69880763097615;0;0;0;0;0
433;891f4d6ce2fffff;2575.3544643566083;4;0;0;2;0
434;891f4d6ccd7ffff;691.173802253642;1;0;2;2;0
435;891f4d6cec7ffff;215.82683051321354;1;3;9;4;0
436;891f4d6c373ffff;303.09559685108684;0;0;0;1;0
437;891f4d6d96bffff;880.5730120920728;1;0;1;4;0
438;891f4d6ce07ffff;337.73670951326864;0;0;2;1;0
439;891f4d6cc93ffff;1989.878379488632;4;0;2;5;0
440;891f4d6ee67ffff;150.86484417088988;1;0;0;2;0
441;891f4d6cc4bffff;619.6328387878308;0;0;1;1;0
442;891f4d6d127ffff;99.07319218143371;0;0;0;2;0
443;891f49d649bffff;2914.3227350691077;3;0;2;7;4
